Unnamed: 0,English,Korean
1518,noticed,알아차렸다
1519,fantastic,환상적이다
1520,screams,비명
1521,serve,제공하다
1522,ideas,아이디어
1523,investigation,조사
1524,center,센터
1525,older,나이가 많은
1527,soldiers,군인들
1528,nonsense,무의미한 말
1529,doc,의사
1530,project,프로젝트
1531,training,훈련
1532,example,예
1533,trick,장난
1534,prepared,준비된
1535,science,과학
1536,united,연합
1537,travel,여행하다
1538,incredible,믿을 수 없는
1539,grandpa,할아버지
1540,paying,지불
1541,character,성격
1542,teeth,이
1543,criminal,범인
1544,charles,찰스
1545,chinese,중국인
1547,honestly,솔직히
1548,bro,형
1549,survive,생존하다
1550,bobby,순경
1551,target,목표
1552,feed,밥을 먹이다
1553,nurse,간호사
1554,e,이자형
1555,fake,가짜
1556,records,기록
1557,breathing,호흡
1558,sweetie,사탕
1559,numbers,숫자
1560,oil,기름
1561,suicide,자살
1562,belong,제자리에 있다
1564,perfectly,아주
1565,amy,에이미
1566,forgotten,잊혀진
1567,remain,유지하다
1568,original,원래의
1569,papa,아빠
1570,onto,에
1571,concerned,관심 있는
1572,credit,신용 거래
1573,ugh,으악
1574,invited,초대했다
1575,discuss,논의하다
1576,research,연구
1577,easier,더 쉽다
1578,view,보다
1579,chair,의자
1580,hurts,아프다
1581,strike,스트라이크
1582,roger,알았다
1583,fill,채우다
1584,condition,상태
1585,mountain,산
1586,dr,박사
1588,sheriff,주 장관
1589,kim,김
1590,turning,선회
1591,brown,갈색
1592,recognize,인정하다
1593,heads,머리
1594,audience,청중
1595,all,모두
1596,jealous,질투하는
1597,pretend,~인 척하다
1598,society,사회
1599,finding,발견
1600,shirt,셔츠
1601,comfortable,편안한
1602,meaning,의미
1603,guest,손님
1604,pieces,조각들
1605,dry,마른
1606,letting,맡기다
1607,began,시작했다
1608,aye,찬성
1609,jeff,제프
1610,female,여성
1611,release,풀어 주다
1612,ho,호
1613,cards,카드
1614,pray,기도하다
1615,unfortunately,안타깝게도
1616,balls,불알
1617,destroyed,의해 파괴됨
1618,ended,끝났다
1619,universe,우주
1620,prepare,준비하다
1621,opinion,의견
1622,movies,영화 산업
1623,soldier,군인
1625,program,프로그램
1626,heat,열
1627,usual,평소
1628,ticket,표
1629,stolen,훔친
1630,prefer,선호하다
1631,aware,알고 있는
1632,surely,확실히
1633,male,남성
1634,base,베이스
1635,matters,문제
1636,lift,승강기
1637,lab,랩
1638,command,명령
1639,proof,증거
1640,cream,크림
1641,selling,판매
1642,believed,믿었다
1643,create,만들다
1644,h,시간
1645,afford,여유가 되다
1646,sunday,일요일
1647,total,총
1648,dumb,멍청한
1649,threw,던졌다
1650,france,프랑스
1651,birth,출생
1652,created,생성됨
1653,realized,실현되었다
1654,british,영국
1655,noise,소음
1656,nuts,견과류
1657,students,재학생
1658,birds,조류
1659,social,사회의
1660,brilliant,멋진
1661,bodies,시체
1662,tie,묶다
1663,opened,열렸다
1664,ours,우리 것
1665,bucks,벅스
1666,kevin,케빈
1667,mister,아저씨
1668,ugly,못생긴
1669,ryan,라이언
1670,focus,집중하다
1671,dan,단
1672,opens,열립니다
1673,exist,존재하다
1674,followed,따라갔다
1675,england,영국
1676,draw,그리다
1677,purpose,목적
1678,letters,편지
1679,daniel,다니엘
1680,opening,열기
1681,bullet,총알
1682,anna,안나
1683,lately,최근에
1684,stayed,머물렀다
1685,falling,떨어지는
1686,season,계절
1687,ends,끝
1688,suggest,제안하다
1689,joy,기쁨
1690,distance,거리
1691,responsibility,책임
1692,whenever,언제든지
1693,issue,문제
1694,thousands,수천
1695,process,프로세스
1696,sword,검
1697,shower,샤워
1698,weak,약한
1699,fucked,엿먹다
1700,lonely,외로운
1701,happiness,행복
1702,eric,에릭
1704,desk,책상
1705,pool,수영장
1706,property,재산
1707,forced,강요된
1708,settle,해결하다
1709,indistinct,불분명하다
1710,weight,무게
1711,received,받았다
1712,gang,가다
1713,bite,깨물다
1714,friday,금요일
1715,disappeared,사라졌다
1716,interview,회견
1717,expecting,기대하다
1718,kinda,일종의
1719,surgery,수술
1720,horses,말
1721,mayor,시장
1722,babe,아기
1723,ancient,고대의
1724,handsome,멋있는
1725,thomas,도마
1726,saturday,토요일
1727,staff,직원
1728,lines,윤곽
1729,unit,단위
1730,fan,팬
1731,gentleman,신사
1732,introduce,소개하다
1733,fate,운명
1734,split,나뉘다
1735,recently,최근에
1736,expected,예상되는
1737,add,추가하다
1738,ordered,주문했다
1739,slowly,느리게
1740,alarm,경보
1741,member,회원
1742,slept,잤다
1743,signed,서명했다
1744,enter,입력하다
1745,spanish,스페인 사람
1746,garden,정원
1747,brings,가져온다
1748,brave,용감한
1749,pig,돼지
1750,model,모델
1751,finger,손가락
1752,medicine,약
1753,access,입장
1754,failed,실패한
1755,flat,평평한
1756,easily,쉽게
1757,discovered,발견되었다
1758,based,기반을 둔
1759,screw,나사
1760,insane,정신 이상의
1761,cares,신경 쓴다
1762,weather,날씨
1763,fingers,손가락
1764,san,산
1766,path,길
1767,soft,부드러운
1768,harm,피해
1769,style,스타일
1770,community,지역 사회
1771,sees,본다
1772,basically,원래
1773,al,알
1774,signal,신호
1775,nope,아니요
1776,spare,여분의
1777,speech,연설
1778,covered,덮여있다
1779,shake,떨림
1780,loose,헐렁한
1781,snow,눈
1782,russian,러시아인
1783,lake,호수
1784,bright,밝은
1785,roof,지붕
1786,ohh,오오
1787,sending,배상
1788,paint,페인트
1789,remind,상기시키다
1790,pal,단짝
1791,naked,적나라한
1792,post,우편
1793,heading,표제
1794,streets,시가
1795,damage,손상
1796,silence,고요
1797,doors,문
1798,pete,피트
1799,ed,에드
1800,success,성공
1801,wet,젖은
1802,nah,아니
1803,amount,양
1804,members,회원들
1805,kate,케이트
1806,manage,관리하다
1807,safety,안전
1808,returned,돌아왔다
1809,harder,더 어렵다
1810,fbi,FBI
1811,block,차단하다
1812,showing,전시
1813,fancy,팬시한
1814,chef,요리사
1815,contract,계약
1816,dig,파기
1817,chest,가슴
1818,good-bye,안녕히 가세요
1819,drinks,음료수
1820,dave,데이브
1821,buried,묻혔다
1822,brian,브라이언
1823,trade,거래
1824,journey,여행
1825,stomach,위
1826,changes,변화
1827,details,세부
1828,thoughts,생각
1829,divorce,이혼
1830,funeral,장례식
1831,maria,마리아
1832,football,축구
1833,reality,현실
1834,theory,이론
1835,gosh,맙소사
1836,ruined,망가졌다
1837,gate,문
1838,william,윌리엄
1839,spread,확산
1840,outta,밖으로
1841,japanese,일본어
1842,sudden,갑작스러운
1843,coat,코트
1844,sooner,더 빨리
1845,cheese,치즈
1846,larry,래리
1847,spring,봄
1848,page,페이지
1849,ears,귀
1850,simon,사이먼
1851,castle,성
1852,hidden,숨겨진
1853,storm,폭풍
1854,cos,코사인
1855,personally,몸소
1856,artist,아티스트
1857,hill,언덕
1858,exciting,신나는
1859,permission,허가
1860,jerry,실내 변기
1861,expensive,값비싼
1862,tickets,티켓
1863,forest,숲
1864,barely,간신히
1865,eggs,계란
1866,goin,가다
1867,regret,후회
1868,lesson,수업
1869,lover,애인
1870,bread,빵
1871,andy,앤디
1872,subject,주제
1873,legal,합법적인
1874,growing,성장하다
1875,ill,아픈
1876,jason,제이슨
1877,mood,분위기
1878,owner,소유자
1879,caused,발생했다
1880,beeping,삐 소리
1881,points,전철기
1882,dating,데이트
1883,loss,손실
1884,secretary,비서
1885,revenge,복수
1886,santa,산타
1887,likely,~할 것 같은
1888,rent,임차료
1889,connection,연결
1890,assistant,어시스턴트
1891,reasons,이유
1892,yelling,소리지르다
1893,painting,그림
1894,trees,나무들
1895,doctors,의사들
1896,rush,서두르다
1897,foreign,외국의
1898,rough,거친
1899,murderer,살인자
1900,century,세기
1901,nights,밤
1902,pair,쌍
1903,runs,달리다
1904,pocket,포켓
1905,farm,농장
1906,matt,매트
1907,bike,자전거
1908,obvious,분명한
1909,ate,먹었다
1910,grew,자랐다
1911,professional,전문적인
1912,tim,팀
1913,goodness,선량
1914,parts,부분품
1915,alan,앨런
1916,university,대학교
1917,square,정사각형
1918,grandfather,할아버지
1919,europe,유럽
1920,genius,천재
1921,cases,사례
1922,ruin,망치다
1923,winter,겨울
1924,tongue,혀
1925,memories,기억
1926,da,다
1927,buying,구매
1928,cancer,암
1929,clock,시계
1930,ocean,대양
1931,dna,DNA
1932,liar,거짓말쟁이
1933,tour,관광
1934,thief,도둑
1935,bleep,호출 장치
1936,lisa,리사
1937,rights,진상
1938,including,포함
1939,competition,경쟁
1940,smith,스미스
1941,planned,계획된
1942,emily,에밀리
1943,boring,지루한
1944,victims,피해자들
1945,mentioned,말하는
1946,bones,뼈
1947,plant,식물
1948,bless,신을 하다
1949,warning,경고
1950,knocking,노킹
1951,re,답장
1952,crash,충돌
1953,bedroom,침실
1954,lower,낮추다
1955,silver,은
1956,groaning,신음하다
1957,madame,부인
1958,defense,방어
1959,results,결과
1960,toilet,화장실
1961,event,이벤트
1962,complicated,복잡한
1963,shape,모양
1964,priest,성직자
1965,royal,감청색
1966,cheap,값이 싼
1967,romantic,로맨틱한
1968,downstairs,아래층
1969,invite,초대하다
1970,fortune,행운
1971,tears,눈물
1972,avoid,피하다
1973,reached,도달했다
1974,higher,더 높은
1975,familiar,친숙한
1976,telephone,전화
1977,burning,타고 있는
1978,filled,채우는
1979,kelly,켈리
1980,alice,앨리스
1981,airport,공항
1982,jobs,일자리
1983,grown,성장했다
1984,walter,월터
1985,rachel,레이첼
1986,giant,거대한
1987,insurance,보험
